"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,156820,-156820
3,0,0,317500,-317500
4,0,0,393880,-393880
5,0,0,440260,-440260
6,0,0,530340,-530340
7,0,-10234,642855,-653089
8,74499,-233067,703245,-936312
9,81152,-289483,759624,-1049107
10,2762452,1033650,836704,196946
11,2936123,1132194,895487,236707
12,4437704,1989783,1014480,975303
13,4619777,2105465,1204464,901001
14,4803597,2226473,1391238,835235
15,5744240,2653775,1515691,1138084
16,5856847,2646992,1604767,1042225
17,5967300,2666125,1691918,974207
18,6103165,2710847,1775543,935304
19,8680690,3670749,1882726,1788023
20,10309940,4333460,1995037,2338423
21,10449304,4416495,2162108,2254387
22,10669168,4570006,2274500,2295506
23,10813623,4655349,2380767,2274582
24,11051097,4835618,2488626,2346992
25,11486620,4999650,2598355,2401295
26,11837025,5248210,2699640,2548570
27,13614297,5945330,2825243,3120087
28,15195800,6433132,3001085,3432047
29,15755839,6639379,3135836,3503543
30,16369746,6716532,3263541,3452991